ID,"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded Date","Precuration Date","Disease entity assigned Date","Precuration Complete Date","Curation Provisional Date","Curation Approved Date","Recuration assigned Date","Retired Assignment Date","Published Date",Classification,Created,"GCI UUID"
1779,AASS,"Aminoacidopathy GCEP",,MONDO:0009388,,,,,2022-10-14,2022-10-14,,,2022-10-17,Definitive,"2018-11-05 10:22:11",396eebfa-ea08-4d20-9011-429b4b4aa01b
1756,ACAD8,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0012648,,,,,2019-04-15,2019-04-26,,,2020-04-06,Definitive,"2018-11-05 10:22:10",a42254ab-c9f5-40a9-acf7-2dda541042d4
1754,ACADSB,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0012392,,,,,2019-03-12,2019-03-22,,,2020-04-06,Definitive,"2018-11-05 10:22:10",47d12850-349e-45d2-aa41-8d773d4f1f00
5816,ACAT1,"Aminoacidopathy GCEP","Jen McGlaughon",,,,,,,,,,,,"2021-09-15 12:10:31",
4101,ACSF3,"Aminoacidopathy GCEP","May Flowers",MONDO:0013661,2020-06-22,,,2020-09-10,2020-09-14,2020-10-09,,,2020-11-03,Definitive,"2020-06-22 15:18:54",2362862a-e7a6-4611-a15b-e73ac23f9bff
4103,ACY1,"Aminoacidopathy GCEP","May Flowers",MONDO:0012368,2020-06-22,,,2020-06-25,2020-09-01,2020-09-25,,,2020-11-03,Definitive,"2020-06-22 15:20:31",362717b3-12a4-4012-aad9-375c6fe6974b
5280,ADK,"Aminoacidopathy GCEP","May Flowers",,,,,2021-02-03,2021-03-22,,,,2021-05-12,,"2021-02-03 12:37:24",
3475,AHCY,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0013404,,,,,2022-10-13,2022-12-12,,,2022-12-16,Moderate,"2019-12-11 14:52:37",2b13396b-44f2-427b-b0c6-849203bb2d89
3947,ALDH18A1,"Aminoacidopathy GCEP",,MONDO:0100126,,2020-04-10,,2020-04-24,2021-05-14,2021-05-18,,,2021-05-18,Definitive,"2020-04-01 11:42:27",eb373e72-2ab4-4463-a9db-4644b7095591
2297,ALDH4A1,"Aminoacidopathy GCEP",,MONDO:0009401,2019-08-22,,,2019-08-22,2020-10-23,2020-10-23,,,2020-10-23,Definitive,"2019-08-22 16:32:55",832b883f-169d-4096-9ec2-ee02b4f9cf74
1758,ALDH6A1,"Aminoacidopathy GCEP","May Flowers",MONDO:0013579,,,,,2022-10-14,2022-12-12,,,2022-12-16,Limited,"2018-11-05 10:22:10",314ae4be-3068-4317-a6ba-dcddde6f20b7
1782,ALDH7A1,"Aminoacidopathy GCEP",,MONDO:0009945,,,,,2020-05-08,2019-07-26,,,2020-05-22,Definitive,"2018-11-05 10:22:12",6c698819-c96e-4227-bc38-eda6caf65279
1772,AMT,"Aminoacidopathy GCEP",,MONDO:0011612,,,,,2020-05-22,2019-05-24,,,2020-05-22,Definitive,"2018-11-05 10:22:11",f9d516c1-3ebb-4b51-8b3f-953480eb2b17
1729,ARG1,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0008814,,,,,2020-04-23,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:08",bd65ccf4-37c3-44e2-808b-d2fa7ed5c3ba
1728,ASL,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0008815,,,,,2020-05-18,2019-01-07,,,2020-05-22,Definitive,"2018-11-05 10:22:08",f4c6c928-c568-4fbd-b49c-676593970efa
1783,ASNS,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0014258,,,,2019-08-15,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:12",140c1c46-bd68-4eb7-a85a-a0e20a5da74e
4102,ASPA,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0010079,2020-06-22,,,,2020-09-16,2020-10-08,,,2020-10-15,Definitive,"2020-06-22 15:19:24",84a6c22c-57fe-4228-a411-3684eb71dec7
2070,ASS1,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0008988,2019-02-06,,,,2020-05-22,2018-12-27,,,2020-05-22,Definitive,"2019-02-06 21:22:49",55b01a73-08d9-4e28-b5a3-0ea21b403db3
1752,AUH,"Aminoacidopathy GCEP","Justyne Ross",MONDO:0009610,,,,,2020-04-24,2020-06-29,,,2020-06-29,Definitive,"2018-11-05 10:22:09",9eae8f55-32fb-4763-a4a4-08d18b4ee750
1739,BCAT2,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0100058,,,,2020-07-24,2020-07-24,2020-07-24,,2020-06-23,2020-07-24,Definitive,"2018-11-05 10:22:08",7117e482-5e38-4b3d-84e1-c3d6d749f18b
1736,BCKDHA,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0023691,,,,,,2018-09-14,,,2020-04-06,Definitive,"2018-11-05 10:22:08",71807d1e-0610-4dfe-a093-8433a365b2fc
1732,BCKDHB,"Aminoacidopathy GCEP","Jen McGlaughon",MONDO:0023692,,,,,2018-09-28,2019-02-08,,,2020-04-06,Definitive,"2018-11-05 10:22:08",c7afdd73-d87c-4961-9d99-a39b26b6a9c5
1738,BCKDK,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0013970,,,,,2020-05-22,2019-01-18,,,2020-05-22,Definitive,"2018-11-05 10:22:08",30dbf0f3-c5af-47d8-bab8-b8e9486449af
1730,CA5A,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0014332,,,,,2020-05-18,2018-09-10,,,2020-05-22,Definitive,"2018-11-05 10:22:08",e0590a84-4b23-4779-a64e-04eaea8dd0cd
