"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded date","Precuration date","Disease entity assigned date","Precuration Complete date","Curation Provisional date","Curation Approved date","Recuration assigned date","Retired Assignment date","Published date",Classification,Created,"GCI UUID"
LMNA,"UNC Biocuration Core","Courtney Thaxton",,,2018-07-27,,,,,,,,,"2018-07-26 11:49:22",
EXTL3,"UNC Biocuration Core","Courtney Thaxton",MONDO:0044312,,,,,2018-09-07,,,,,Strong,"2018-07-26 11:50:27",b336d7e4-9a3b-4084-93e7-d7776bb57690
WHRN,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0016484,,,,,2016-08-11,2017-03-30,,,,,"2018-07-27 15:08:02",
WHRN,"Hearing Loss GCEP",,MONDO:0019497,,,,2017-12-11,2017-12-11,,,,2020-04-06,Moderate,"2018-07-27 15:08:03",a647d9e7-4783-4ae9-bd72-e8db087ab59f
GJB2,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0019497,2016-08-15,,,,2016-08-15,2017-03-02,,,,,"2018-07-27 15:08:03",b7e64fa5-10c8-4d9a-a8f2-c7df8e958f05
GJB2,"Hearing Loss GCEP",,MONDO:0005365,,,,,2018-01-03,2018-06-26,,,2020-04-06,Definitive,"2018-07-27 15:08:03",d9234a5a-9c2a-4187-b12a-e1aaf7d2f9a5
OTOF,"Hearing Loss GCEP",,MONDO:0019497,2017-01-30,,,,2018-08-25,2017-01-30,,,,Definitive,"2018-07-27 15:08:04",7a7496ba-c9ca-4177-8cf8-ed62c130bbe1
ACTA1,"Hereditary Cardiovascular Disease","Elizabeth Jordan",MONDO:0005045,2020-04-06,,,,2020-04-26,2020-05-01,2022-06-08,,2020-07-28,"No Known Disease Relationship","2018-07-31 17:56:49",63cf89c4-9fcd-4e49-957c-608da6b51323
ACTC1,"Hypertrophic Cardiomyopathy GCEP","Kathleen Wallace",MONDO:0005045,,,,,2021-06-23,2021-06-23,2021-06-21,,2021-06-23,Definitive,"2018-07-31 17:56:50",c54aa99e-307a-4d1a-9108-a4a1931a79ec
ACTN2,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0000591,,2022-12-23,,,2023-04-22,2023-05-10,2023-03-08,,2023-10-11,Definitive,"2018-07-31 17:56:50",280f0aa7-b89e-4ad7-9e9c-89a473b9129c
ANKRD1,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,2020-04-06,,,,2023-02-08,2023-02-08,2022-11-08,,2023-04-12,Disputed,"2018-07-31 17:56:50",8fd311f1-4e50-4f03-bddb-d70f02c7261b
CACNB2,"Hereditary Cardiovascular Disease","Stacey Peters",MONDO:0005045,,,,,2022-03-08,2022-04-13,2022-02-09,,2022-05-10,Disputed,"2018-07-31 17:56:50",84986ba2-f29a-4c59-b885-8870e43dc2b0
CALR3,"Hereditary Cardiovascular Disease",,MONDO:0005045,,,,2020-04-06,2023-11-21,2023-01-11,,2019-10-10,2023-11-21,Disputed,"2018-07-31 17:56:50",d3271ecd-672d-483c-ae51-30509fd50eb3
CASQ2,"Hereditary Cardiovascular Disease","Stacey Peters",MONDO:0005045,2020-04-06,,,,2022-03-08,2022-05-10,2022-02-09,2020-04-16,2022-05-10,Disputed,"2018-07-31 17:56:50",afb2e6ca-f948-4850-be42-ed7d7d1842ed
CSRP3,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,2020-04-06,,,,2020-06-18,2017-12-19,2022-09-14,,2020-07-28,Moderate,"2018-07-31 17:56:50",087b0414-1744-4eb5-86e3-815a9737a04b
DSP,"Hereditary Cardiovascular Disease","Brittney Murray",MONDO:0005045,,,,,2022-04-06,2022-06-22,2022-03-14,,2022-06-30,Disputed,"2018-07-31 17:56:50",8d7ab37c-dfeb-425d-b8f3-358ce7a17bdc
JPH2,"Hereditary Cardiovascular Disease","Amber Waddell",MONDO:0005045,,,,,2023-06-02,2022-10-12,2022-09-14,,2023-10-11,Moderate,"2018-07-31 17:56:50",2704b741-8167-4205-b38e-af449e7d32a8
KCNQ1,"Hereditary Cardiovascular Disease","Nadia Qureshi",MONDO:0005045,,,,,2022-04-14,2022-05-09,2022-03-14,,2022-05-10,Disputed,"2018-07-31 17:56:50",7ba99754-4338-4841-bee5-d957682f208b
KLF10,"Hereditary Cardiovascular Disease","Stacey Peters",MONDO:0005045,,,,,2022-09-14,2022-09-14,2022-08-16,,2022-10-07,Limited,"2018-07-31 17:56:50",b90845a6-c0ce-44da-a982-06f0c935dfef
MYBPC3,"Hereditary Cardiovascular Disease","Courtney Thaxton",MONDO:0005045,2017-09-05,,,,2022-02-10,2021-10-07,,,2022-02-10,Definitive,"2018-07-31 17:56:50",02352a40-df0a-4bbd-ba03-b85e5e8a60da
